,lam1,P11,lam2,P22
0,1.0,-0.0015571526405104472,0.9999999999999999,0.0009657695608452654
1,1.0013751811898948,-0.0015571526405104472,1.0008153725037665,0.00022286989865659968
2,1.00242277722884,-0.0007785763202552236,1.0018213438908226,-0.0005200297635320659
3,1.0037022497460972,-0.0015571526405104472,1.0028297747083754,0.0017086692230339309
4,1.00474768011366,-0.0007785763202552236,1.00351813050492,-0.0012629294257207315
5,1.006121927315764,-0.0007785763202552236,1.004479029190009,0.00022286989865659968
6,1.006675846829377,-0.0007785763202552236,1.004748717293387,0.0009657695608452654
7,1.0079282022879041,-0.0,1.0055064585620845,-0.0005200297635320659
8,1.0097541107399022,-0.0,1.0063566179402788,0.0009657695608452654
9,1.0111433881915692,-0.0007785763202552236,1.007320178865296,0.00022286989865659968
10,1.0125956540105288,-0.0007785763202552236,1.0080625265929015,-0.0005200297635320659
11,1.014118903081688,-0.0015571526405104472,1.0085069305260483,0.0009657695608452654
12,1.015141606128557,-0.0,1.0088244781786548,-0.0005200297635320659
13,1.0174406110668144,-0.0,1.009056496494672,0.00022286989865659968
14,1.019190194773771,-0.0,1.0096152261242468,0.002525858851441463
15,1.0208225235301847,-0.0,1.0101658047673279,0.0017086692230339309
16,1.0224691697074118,-0.0,1.0106134042767547,0.002525858851441463
17,1.0240082473942709,0.0007785763202552236,1.0111034679336324,0.002525858851441463
18,1.0260198394988236,-0.0,1.011959670835606,0.004011658175818794
19,1.027617535673197,-0.0,1.0123458026051302,0.0032687585136301285
20,1.0296228685252984,-0.0,1.0128558975513513,0.004011658175818794
21,1.031577468836754,-0.0,1.0132611802471452,0.00475455783800746
22,1.0331782313199138,0.0015571526405104472,1.0135589947213286,0.004011658175818794
23,1.0357183800187166,0.0023357289607656706,1.013957808319173,0.004011658175818794
24,1.0370980052935062,0.0023357289607656706,1.0141748894889069,0.00475455783800746
25,1.0390259214658337,0.0031143052810208944,1.0142032068891507,0.00475455783800746
26,1.040952313342085,0.004671457921531341,1.014129463207304,0.00475455783800746
27,1.0430685237328998,0.0023357289607656706,1.0142255629810049,0.005497457500196126
28,1.045699022206826,0.005372176609761043,1.0144129548520344,0.008469056148950788
29,1.0476682990535566,0.006150752930016267,1.0144346949598753,0.008469056148950788
30,1.0493464869380908,0.006150752930016267,1.0143962425944753,0.00995485547332812
31,1.05128175002741,0.0077079055705267146,1.0143120524417462,0.01077204510173565
32,1.05323267128137,0.009265058211037161,1.013987643711104,0.013000744088301649
33,1.0556420800515758,0.010822210851547609,1.0138053765396071,0.01448654341267898
34,1.0574895494702006,0.010043634531292384,1.0138979836405884,0.01597234273705631
35,1.0592300280586275,0.011600787171802832,1.0134656278996508,0.01901823135202984
36,1.0604310082906883,0.012379363492058057,1.0135071416412216,0.018275331689841173
37,1.062095522274392,0.013936516132568503,1.0132553368886192,0.021989830000784503
38,1.0645013375499885,0.018530116422074323,1.0132287483806999,0.0257786182779467
39,1.0663382398167343,0.018530116422074323,1.0132545369146526,0.02875021692670136
40,1.0679989720527767,0.02398015066386089,1.012804115508083,0.030978915913267353
41,1.0695119388477003,0.024758726984116113,1.0125463629621692,0.03402480452824089
42,1.0705563794832949,0.02935232727362193,1.01251274200175,0.039225102163561544
43,1.0724864218218173,0.03090947991413238,1.0121416533039875,0.041528091116346415
44,1.073978271180612,0.036281656523893424,1.0118558591349434,0.0459854890894784
45,1.0752461017494743,0.04017453812516954,1.0120934223234526,0.047471288413855735
46,1.076600871669226,0.04017453812516954,1.0118253055777429,0.05348877567758392
47,1.07775080065526,0.043288843406190436,1.0111122991879404,0.05727756395474612
48,1.0790154486287773,0.049439596336206704,1.0109721863569807,0.06099206226568945
49,1.0805282881389902,0.05099674897671715,1.0104983343580796,0.06396366091444411
50,1.0816575240229633,0.054889630577993266,1.0102141849480255,0.0699811481781723
51,1.0825539528477213,0.059483230867499085,1.0101779472247088,0.0737699364553345
52,1.0832761318102215,0.06641256011777058,1.0098400892665085,0.07748443476627782
53,1.0847846190408656,0.06796971275828102,1.0095955198591597,0.08498772135438336
54,1.0856045586204324,0.07108401803930192,1.0096000065984787,0.08877650963154554
55,1.0864424360232499,0.07419832332032282,1.0092777651703901,0.0939768072668662
56,1.0875051275088772,0.08034907625033907,1.008957110638821,0.0999942945305944
57,1.088337494885902,0.0842419578516152,1.0091440904863629,0.10148009385497173
58,1.0895138722841164,0.08883555814112101,1.0090289906988432,0.10749758111869992
59,1.090028370074349,0.09350701606265237,1.0087644630774966,0.11574376736899411
